DATE,CPIAUCSL
10/1/2018,252.899
11/1/2018,252.822
12/1/2018,252.493
1/1/2019,252.441
2/1/2019,252.969
3/1/2019,254.147
4/1/2019,255.326
5/1/2019,255.371
6/1/2019,255.423
7/1/2019,255.925
8/1/2019,256.118
9/1/2019,256.532
10/1/2019,257.387
11/1/2019,257.989
12/1/2019,258.203
